"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","PUT /users/2 — sends updated name/job, expects 200 with matching data","","2026-04-16","passed","2026-04-16","","Users API","",""
"","10618","should handle a full lifecycle of adding, completing, filtering and clearing","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","4705","should filter active and completed todos","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","2680","should delete a todo item","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","26","DELETE /users/2 — expects 200","","2026-04-16","passed","2026-04-16","","Users API","",""
"","1941","should mark a todo item as completed","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","215","GET /users — returns 200, non-empty array with id/email/name","","2026-04-16","passed","2026-04-16","","Users API","",""
"","27219","should add a new todo item","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","193","GET /users/2 — returns 200 with id:2 and truthy email/name","","2026-04-16","passed","2026-04-16","","Users API","",""
"","20247","should display correct remaining items count","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","147","GET /users/9999 — returns 404","","2026-04-16","passed","2026-04-16","","Users API","",""
"","38","POST /users — sends name/job, expects 201 with matching data and defined id","","2026-04-16","passed","2026-04-16","","Users API","",""
"","700","should add multiple todo items","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
