"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1385","should handle a full lifecycle of adding, completing, filtering and clearing","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","129","PUT /users/2 — sends updated name/job, expects 200 with matching data","","2026-04-16","passed","2026-04-16","","Users API","",""
"","59","DELETE /users/2 — expects 200","","2026-04-16","passed","2026-04-16","","Users API","",""
"","31","GET /users/9999 — returns 404","","2026-04-16","passed","2026-04-16","","Users API","",""
"","655","should add multiple todo items","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","25832","should add a new todo item","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","199","GET /users — returns 200, non-empty array with id/email/name","","2026-04-16","passed","2026-04-16","","Users API","",""
"","940","should display correct remaining items count","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","2027","should delete a todo item","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","1965","should mark a todo item as completed","","2026-04-16","passed","2026-04-16","","TodoMVC","",""
"","66","POST /users — sends name/job, expects 201 with matching data and defined id","","2026-04-16","passed","2026-04-16","","Users API","",""
"","33","GET /users/2 — returns 200 with id:2 and truthy email/name","","2026-04-16","passed","2026-04-16","","Users API","",""
